type,name,notice,furigana
燃やすごみ,スノーダンプ（金属以外・７０㎝以下）,,す
燃やすごみ,すのこ（７０㎝以下）,,す
燃やすごみ,スプーン（プラスチック製）,,す
燃やすごみ,すべり台（７０㎝以下）,,す
燃やすごみ,スポンジ,,す
燃やすごみ,スリッパ,,す
燃やすごみ,スリッパ立て（金属以外・７０㎝以下）,,す
燃やすごみ,生理用品,,せ
燃やすごみ,石油ポンプ（手動式）,,せ
燃やすごみ,洗車ブラシ,,せ
燃やすごみ,洗濯ばさみ（金属以外）,,せ
燃やすごみ,洗濯用ハンガー（金属以外）,,せ
燃やすごみ,洗面器（プラスチック製）,,せ
燃やすごみ,ソファー（７０㎝以下・スプリングなし）,,そ
燃やすごみ,ソファーベッド（７０㎝以下・スプリングなし）,,そ
燃やすごみ,そり,,そ
燃やすごみ,そろばん,,そ
燃やすごみ,タイヤゴムチューブ(自転車用）,,た
燃やすごみ,タイヤチェーン（金属以外）,,た
燃やすごみ,タオル,,た
燃やすごみ,タオルケット（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,た
燃やすごみ,竹串,先を折って危なくないように,た
燃やすごみ,竹馬（竹・木製、７０㎝以下）,,た
燃やすごみ,竹ぼうき（７０㎝以下）,,た
燃やすごみ,畳（７０㎝以下）,増改築に伴うものは請け負った業者に処分してもらう,た
燃やすごみ,卓球台（７０㎝以下）,,た
燃やすごみ,脱酸素剤,,た
燃やすごみ,タッパ,,た
燃やすごみ,たばこの吸いがら,火を完全に消してから,た
燃やすごみ,卵パック(紙）,,た
燃やすごみ,たらい(金属以外）,,た
燃やすごみ,たる（７０ｎ㎝以下）,,た
燃やすごみ,たわし(金属以外）,,た
燃やすごみ,たんす（７０㎝以下）,,た
燃やすごみ,ダンベル（金属以外）,,た
燃やすごみ,ダンボール,各校下・地区の集団回収をご利用ください（ガムテープ、止め金具を取り除く）,た
燃やすごみ,チェーン（金属以外）,,ち
燃やすごみ,チェスト（７０㎝以下）,,ち
燃やすごみ,茶だんす（７０㎝以下）,,ち
燃やすごみ,チューブ（自転車用）,,ち
燃やすごみ,チョーク,,ち
燃やすごみ,チラシ,各校下・地区の集団回収をご利用ください,ち
燃やすごみ,ちりとり（金属以外）,,ち
燃やすごみ,ついたて（金属以外、７０㎝以下）,,つ
燃やすごみ,机（金属以外、７０㎝以下）,,つ
燃やすごみ,DVD（ソフト）,,て
燃やすごみ,ティッシュくず,,て
燃やすごみ,テーブル（金属以外、７０㎝以下）,,て
燃やすごみ,デスクマット（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,て
燃やすごみ,手袋（ゴム手袋含む）,,て
燃やすごみ,テレビ台（金属以外、７０㎝以下）,扉や戸がガラスのものは、埋立ごみへ,て
燃やすごみ,点滴用パック（在宅治療用）,,て
燃やすごみ,天ぷら油,紙や布にしみこませて,て
燃やすごみ,胴（剣道用具）,,と
燃やすごみ,戸棚（金属以外、７０㎝以下）,扉や戸がガラスのものは、埋立ごみへ,と
燃やすごみ,トランク（金属以外、７０㎝以下）,,と
燃やすごみ,鳥かご（金属以外),,と
燃やすごみ,塗料容器（プラスチック製）,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,と
燃やすごみ,鍋焼きうどんの容器（アルミ製）,,な
燃やすごみ,生ごみ,水切りを十分にして,な
燃やすごみ,波板（金属以外、７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,な
燃やすごみ,荷造り用ひもバンド（７０㎝以下）,,に
燃やすごみ,人形（ぬいぐるみ、７０㎝以下）,,に
燃やすごみ,人形（プラスチック製）,,に
燃やすごみ,ぬいぐるみ（７０㎝まで）,,ぬ
燃やすごみ,布くず,,ぬ
燃やすごみ,ネクタイ,,ね
燃やすごみ,猫砂（紙・木・プラスチック製）,,ね
燃やすごみ,寝袋（７０㎝以下）,,ね
燃やすごみ,練りわさびのチューブ,キャップは資源（容プラ）,ね
燃やすごみ,ノンカーボン紙,,の
燃やすごみ,パイプいす（金属以外、７０㎝以下）,,は
燃やすごみ,廃油処理箱,,は
燃やすごみ,バインダー,金具類はなるべく外して埋立ごみの日の金属に出す,は
燃やすごみ,はきもの,スキー靴は埋立ごみ,は
燃やすごみ,バケツ（プラスチック製）,,は
燃やすごみ,はしご（金属以外、７０㎝以下）,,は
燃やすごみ,バスケットゴール（金属以外、７０㎝以下）,,は
燃やすごみ,バスマット（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,は
燃やすごみ,パソコン机（金属以外、７０㎝以下）,,は
燃やすごみ,パソコン用ラック（金属以外、７０㎝以下）,,は
燃やすごみ,バット（木製、７０㎝以下）,,は
燃やすごみ,花台（金属以外、７０㎝以下）,,は
燃やすごみ,花火,水で湿らせる,は
燃やすごみ,歯ブラシ（プラスチック製）,,は
燃やすごみ,歯磨き粉のチューブ,キャップは資源（容プラ）,は
燃やすごみ,ハンガー（プラスチック製・木製）,,は
燃やすごみ,ハンガースタンド（金属以外、７０㎝以下）,,は
燃やすごみ,ハンカチ,,は
燃やすごみ,ハンドバッグ（革製）,,は
燃やすごみ,パンフレット,各校下・地区の集団回収をご利用ください,は
燃やすごみ,ハンマー（ゴム製）,,は
燃やすごみ,ハンマー（木製、７０㎝以下）,,は
燃やすごみ,ＰＰバンド（７０㎝以下）,,ひ
燃やすごみ,ピアニカ,,ひ
燃やすごみ,ビーズ,,ひ
燃やすごみ,ビデオテープ,,ひ
燃やすごみ,肥料袋,,ひ
燃やすごみ,屏風（７０㎝以下）,,ひ
燃やすごみ,ファンシーケース（金属以外、７０㎝以下）,,ふ
燃やすごみ,フィルムのネガ,,ふ
燃やすごみ,ブーツ（革製）,,ふ
燃やすごみ,封筒,各校下・地区の集団回収をご利用ください（窓付き封筒はセロファンを取り除く）,ふ
燃やすごみ,フォーク（プラスチック製）,,ふ
燃やすごみ,腹膜透析パック,汚物はトイレに捨てる,ふ
燃やすごみ,ふすま（７０㎝以下）,増改築に伴うものは請け負った業者に処分してもらう,ふ
燃やすごみ,筆箱（金属以外）,,ふ
燃やすごみ,ふとん（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,ふ
燃やすごみ,ふとん圧縮袋,,ふ
燃やすごみ,ふとんたたき（金属以外）,,ふ
燃やすごみ,フラワースタンド（金属以外）,,ふ
燃やすごみ,ブランコ（金属以外、７０㎝以下）,,ふ
燃やすごみ,プランター,７０㎝超のものは埋立ごみ,ふ
燃やすごみ,古着（綿製品）,各校下・地区の集団回収をご利用ください（洗って、たたんで束ねる）,ふ
燃やすごみ,風呂椅子,,ふ
燃やすごみ,フロッピーディスク,,ふ
燃やすごみ,風呂マット（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,ふ
燃やすごみ,ヘアーカーラー,,へ
燃やすごみ,ヘアーブラシ（金属以外）,,へ
燃やすごみ,ベッド（金属以外、７０㎝以下）,,へ
燃やすごみ,ペット小屋（金属以外、７０㎝以下）,,へ
燃やすごみ,ペットシーツ,汚物はトイレに捨てる,へ
燃やすごみ,ペットのフン,汚物はトイレに捨てる,へ
燃やすごみ,ベッドマット（７０㎝以下）,スプリングが入っているものは、埋立ごみ,へ
燃やすごみ,ベッドマットレス（７０㎝以下）,スプリングが入っているものは、埋立ごみ,へ
燃やすごみ,ベニヤ板（７０㎝以下）,,へ
燃やすごみ,ベビーバス（７０㎝以下）,,へ
燃やすごみ,ベビーベッド（金属以外、７０㎝以下）,,へ
燃やすごみ,ベビー用カタカタ,,へ
燃やすごみ,ベランダ収納庫（金属以外、７０㎝以下）,,へ
燃やすごみ,ベルト,金属部分は取り外し、埋立ごみの日の金属へ,へ
燃やすごみ,ヘルメット,,へ
燃やすごみ,便座,温水洗浄機付便座は埋立ごみの日の金属へ,へ
燃やすごみ,ベンチ（金属以外、７０㎝以下）,,へ
燃やすごみ,ほうき（７０㎝以下）,,ほ
燃やすごみ,ボウル（金属以外）,,ほ
燃やすごみ,ホースリール（金属以外）,,ほ
燃やすごみ,ポータブルトイレ,汚物はトイレに捨てる,ほ
燃やすごみ,ホームラック（金属以外、７０㎝以下）,扉や戸がガラスのものは、埋立ごみへ,ほ
燃やすごみ,ボール（ゴルフ・野球・サッカー・テニスなど）,,ほ
燃やすごみ,ボールペン,,ほ
燃やすごみ,木刀（７０㎝以下）,,ほ
燃やすごみ,ボディーボード（７０㎝以下）,,ほ
燃やすごみ,ポリバケツ（７０㎝以下）,,ほ
燃やすごみ,保冷剤,,ほ
燃やすごみ,本棚（金属以外、７０㎝以下）,扉や戸がガラスのものは、埋立ごみへ,ほ
燃やすごみ,マージャンパイ,,ま
燃やすごみ,マガジンラック（金属以外、７０㎝以下）,,ま
燃やすごみ,枕（７０㎝以下）,,ま
燃やすごみ,マット（繊維製・ゴム製、７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,ま
燃やすごみ,マットレス（７０㎝以下）,スプリングが入っているものは、埋立ごみ,ま
燃やすごみ,まな板,,ま
燃やすごみ,マフラー,,ま
燃やすごみ,マヨネーズのチューブ,キャップは資源（容プラ）,ま
燃やすごみ,マルチシート（家庭菜園用・７０㎝以下）,,ま
燃やすごみ,密封容器,,み
燃やすごみ,虫かご,,む
燃やすごみ,むしろ（７０㎝以下）,広げたときに７０㎝を超えているものは、埋立ごみ,む
燃やすごみ,めがねケース（金属以外）,,め
燃やすごみ,毛布（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,も
燃やすごみ,物干しざお（金属以外、７０㎝以下）,,も
燃やすごみ,焼き鳥の串,先を折って危なくないように,や
燃やすごみ,湯たんぽ（金属以外）,,ゆ
燃やすごみ,ゆりかご,,ゆ
燃やすごみ,洋だんす（７０㎝以下）,,よ
燃やすごみ,よしず（７０㎝以下）,,よ
燃やすごみ,ライティングデスク（金属以外、７０㎝以下）,,ら
燃やすごみ,ラップの芯,,ら
燃やすごみ,ランドセル,,ら
燃やすごみ,リビングボード（７０㎝以下）,扉や戸がガラスのものは、埋立ごみへ,り
燃やすごみ,旅行かばん（金属以外、７０㎝以下）,,り
燃やすごみ,レーザーディスク（ソフト）,,れ
燃やすごみ,レコード,,れ
燃やすごみ,レジャーテーブル（金属以外、７０㎝以下）,,れ
燃やすごみ,レンジ台（金属以外、７０㎝以下）,,れ
燃やすごみ,ロープ（金属以外・７０㎝以下）,,ろ
燃やすごみ,ローボード（７０㎝以下）,扉や戸がガラスのものは、埋立ごみへ,ろ
燃やすごみ,ロッカー（金属以外、７０㎝以下）,,ろ
燃やすごみ,ロッキングチェア（金属以外、７０㎝以下）,,ろ
燃やすごみ,和だんす（７０㎝以下）,,わ
びん,一升びん,酒屋さんなどへ返しましょう・キャップを外してひと洗い,い
びん,ウィスキーのびん,キャップを外してひと洗い・割れたものも回収します,う
びん,カップ酒のびん,キャップを外してひと洗い,か
びん,サラダ油のびん,キャップを外してひと洗い,さ
びん,ジュースのびん,キャップを外してひと洗い,し
びん,ドリンク剤のびん,キャップを外してひと洗い,と
びん,ハチミツのびん,キャップを外してひと洗い,は
びん,ビールびん,酒屋さんなどへ返しましょう,ひ
